Version,Instructions,Average Time Per Option (ms),Option Per Second,Dividends,Smoothing,Acceleration,Threads
Graphite GCC-7.1,,1.66520,600.52847,2,False,True,MultiThreaded
Release Clang-4.0,,2.12010,471.67586,2,False,True,MultiThreaded
Optimized Clang-4.0,,1.45660,686.53028,2,False,True,MultiThreaded
Polly Clang-4.0,,1.73190,577.40054,2,False,True,MultiThreaded
Release Intel,,2.08520,479.57031,2,False,True,MultiThreaded
Optimized Intel,,1.84350,542.44643,2,False,True,MultiThreaded
Release,,1.98550,503.65147,3,False,True,MultiThreaded
Release GCC-7.1,,1.94850,513.21529,3,False,True,MultiThreaded
Optimized GCC-7.1,,2.10320,475.46596,3,False,True,MultiThreaded
Graphite GCC-7.1,,2.14310,466.61378,3,False,True,MultiThreaded
Release Clang-4.0,,0.84270,1186.66192,3,False,True,MultiThreaded
Optimized Clang-4.0,,1.77180,564.39779,3,False,True,MultiThreaded
Polly Clang-4.0,,1.98460,503.87988,3,False,True,MultiThreaded
Release Intel,,1.97680,505.86807,3,False,True,MultiThreaded
Optimized Intel,,1.62120,616.82704,3,False,True,MultiThreaded
Release,,2.42800,411.86161,4,False,True,MultiThreaded
Release GCC-7.1,,1.61720,618.35271,4,False,True,MultiThreaded
Optimized GCC-7.1,,2.07260,482.48577,4,False,True,MultiThreaded
Graphite GCC-7.1,,1.88170,531.43434,4,False,True,MultiThreaded
Release Clang-4.0,,2.52030,396.77816,4,False,True,MultiThreaded
Optimized Clang-4.0,,1.16910,855.35882,4,False,True,MultiThreaded
Polly Clang-4.0,,1.96570,508.72463,4,False,True,MultiThreaded
Release Intel,,1.48270,674.44527,4,False,True,MultiThreaded
Optimized Intel,,2.14140,466.98422,4,False,True,MultiThreaded
Release,,2.26120,442.24306,5,False,True,MultiThreaded
Release GCC-7.1,,2.00150,499.62528,5,False,True,MultiThreaded
Optimized GCC-7.1,,2.11650,472.47815,5,False,True,MultiThreaded
Graphite GCC-7.1,,2.52660,395.78881,5,False,True,MultiThreaded
Release Clang-4.0,,2.08000,480.76923,5,False,True,MultiThreaded
Optimized Clang-4.0,,2.28190,438.23130,5,False,True,MultiThreaded
Polly Clang-4.0,,2.57860,387.80734,5,False,True,MultiThreaded
Release Intel,,2.15000,465.11628,5,False,True,MultiThreaded
Optimized Intel,,2.05590,486.40498,5,False,True,MultiThreaded
Release,,2.30740,433.38823,6,False,True,MultiThreaded
Release GCC-7.1,,2.69030,371.70576,6,False,True,MultiThreaded
Optimized GCC-7.1,,2.14440,466.33091,6,False,True,MultiThreaded
Graphite GCC-7.1,,1.66070,602.15572,6,False,True,MultiThreaded
Release Clang-4.0,,2.17320,460.15093,6,False,True,MultiThreaded
Optimized Clang-4.0,,2.36860,422.19032,6,False,True,MultiThreaded
Polly Clang-4.0,,2.32570,429.97807,6,False,True,MultiThreaded
Release Intel,,2.23060,448.30987,6,False,True,MultiThreaded
Optimized Intel,,2.20390,453.74110,6,False,True,MultiThreaded
Release,,1.38940,719.73514,7,False,True,MultiThreaded
Release GCC-7.1,,2.33040,429.11088,7,False,True,MultiThreaded
Optimized GCC-7.1,,2.42390,412.55827,7,False,True,MultiThreaded
Graphite GCC-7.1,,2.42680,412.06527,7,False,True,MultiThreaded
Release Clang-4.0,,1.66730,599.77209,7,False,True,MultiThreaded
Optimized Clang-4.0,,3.08720,323.91811,7,False,True,MultiThreaded
Polly Clang-4.0,,2.23460,447.50738,7,False,True,MultiThreaded
Release Intel,,2.85320,350.48367,7,False,True,MultiThreaded
Optimized Intel,,2.51710,397.28259,7,False,True,MultiThreaded
Release,,2.46610,405.49856,8,False,True,MultiThreaded
Release GCC-7.1,,2.49630,400.59288,8,False,True,MultiThreaded
Optimized GCC-7.1,,2.63840,379.01759,8,False,True,MultiThreaded
Graphite GCC-7.1,,2.48190,402.91712,8,False,True,MultiThreaded
Release Clang-4.0,,2.46270,406.05839,8,False,True,MultiThreaded
Optimized Clang-4.0,,2.87420,347.92290,8,False,True,MultiThreaded
Polly Clang-4.0,,2.78190,359.46655,8,False,True,MultiThreaded
Release Intel,,2.52030,396.77816,8,False,True,MultiThreaded
Optimized Intel,,2.42800,411.86161,8,False,True,MultiThreaded
Release,,0.69870,1431.22943,0,True,True,MultiThreaded
Release GCC-7.1,,1.94550,514.00668,0,True,True,MultiThreaded
Optimized GCC-7.1,,1.61030,621.00230,0,True,True,MultiThreaded
Graphite GCC-7.1,,1.14210,875.58007,0,True,True,MultiThreaded
Release Clang-4.0,,1.38310,723.01352,0,True,True,MultiThreaded
Optimized Clang-4.0,,1.56210,640.16388,0,True,True,MultiThreaded
Polly Clang-4.0,,1.38220,723.48430,0,True,True,MultiThreaded
Release Intel,,1.40320,712.65678,0,True,True,MultiThreaded
Optimized Intel,,1.50910,662.64661,0,True,True,MultiThreaded
Release,,0.99620,1003.81450,1,True,True,MultiThreaded
Release GCC-7.1,,1.73520,576.30244,1,True,True,MultiThreaded
Optimized GCC-7.1,,1.66190,601.72092,1,True,True,MultiThreaded
Graphite GCC-7.1,,1.66880,599.23298,1,True,True,MultiThreaded
Release Clang-4.0,,1.01660,983.67106,1,True,True,MultiThreaded
Optimized Clang-4.0,,1.53890,649.81480,1,True,True,MultiThreaded
Polly Clang-4.0,,1.51490,660.10958,1,True,True,MultiThreaded
Release Intel,,1.20450,830.22001,1,True,True,MultiThreaded
Optimized Intel,,1.67980,595.30897,1,True,True,MultiThreaded
Release,,1.83310,545.52398,2,True,True,MultiThreaded
Release GCC-7.1,,2.06040,485.34265,2,True,True,MultiThreaded
Optimized GCC-7.1,,1.82110,549.11866,2,True,True,MultiThreaded
Graphite GCC-7.1,,1.73970,574.81175,2,True,True,MultiThreaded
Release Clang-4.0,,2.19790,454.97975,2,True,True,MultiThreaded
Optimized Clang-4.0,,1.31430,760.86129,2,True,True,MultiThreaded
Polly Clang-4.0,,1.64500,607.90274,2,True,True,MultiThreaded
Release Intel,,1.87410,533.58946,2,True,True,MultiThreaded
Optimized Intel,,2.82630,353.81948,2,True,True,MultiThreaded
Release,,1.79280,557.78670,3,True,True,MultiThreaded
Release GCC-7.1,,2.33160,428.89003,3,True,True,MultiThreaded
Optimized GCC-7.1,,2.12380,470.85413,3,True,True,MultiThreaded
Graphite GCC-7.1,,1.95190,512.32133,3,True,True,MultiThreaded
Release Clang-4.0,,1.83920,543.71466,3,True,True,MultiThreaded
Optimized Clang-4.0,,1.59960,625.15629,3,True,True,MultiThreaded
Polly Clang-4.0,,1.32660,753.80672,3,True,True,MultiThreaded
Release Intel,,1.89040,528.98857,3,True,True,MultiThreaded
Optimized Intel,,1.70640,586.02907,3,True,True,MultiThreaded
Release,,2.54660,392.68044,4,True,True,MultiThreaded
Release GCC-7.1,,1.92490,519.50751,4,True,True,MultiThreaded
Optimized GCC-7.1,,2.48450,402.49547,4,True,True,MultiThreaded
Graphite GCC-7.1,,2.02700,493.33991,4,True,True,MultiThreaded
Release Clang-4.0,,1.15300,867.30269,4,True,True,MultiThreaded
Optimized Clang-4.0,,2.45890,406.68592,4,True,True,MultiThreaded
Polly Clang-4.0,,1.91700,521.64841,4,True,True,MultiThreaded
Release Intel,,1.70520,586.44147,4,True,True,MultiThreaded
Optimized Intel,,1.80630,553.61789,4,True,True,MultiThreaded
Release,,2.46440,405.77828,5,True,True,MultiThreaded
Release GCC-7.1,,2.29510,435.71086,5,True,True,MultiThreaded
Optimized GCC-7.1,,2.16090,462.77014,5,True,True,MultiThreaded
Graphite GCC-7.1,,2.04380,489.28467,5,True,True,MultiThreaded
Release Clang-4.0,,1.46540,682.40753,5,True,True,MultiThreaded
Optimized Clang-4.0,,2.17860,459.01037,5,True,True,MultiThreaded
Polly Clang-4.0,,1.59640,626.40942,5,True,True,MultiThreaded
Release Intel,,2.17660,459.43214,5,True,True,MultiThreaded
Optimized Intel,,1.14540,873.05745,5,True,True,MultiThreaded
Release,,2.35360,424.88103,6,True,True,MultiThreaded
Release GCC-7.1,,1.96510,508.87996,6,True,True,MultiThreaded
Optimized GCC-7.1,,2.71150,368.79956,6,True,True,MultiThreaded
Graphite GCC-7.1,,2.41610,413.89015,6,True,True,MultiThreaded
Release Clang-4.0,,2.78510,359.05353,6,True,True,MultiThreaded
Optimized Clang-4.0,,1.98400,504.03226,6,True,True,MultiThreaded
Polly Clang-4.0,,2.04560,488.85413,6,True,True,MultiThreaded
Release Intel,,2.29450,435.82480,6,True,True,MultiThreaded
Optimized Intel,,2.32680,429.77480,6,True,True,MultiThreaded
Release,,2.47410,404.18738,7,True,True,MultiThreaded
Release GCC-7.1,,1.85330,539.57805,7,True,True,MultiThreaded
Optimized GCC-7.1,,3.03750,329.21811,7,True,True,MultiThreaded
Graphite GCC-7.1,,2.22120,450.20710,7,True,True,MultiThreaded
Release Clang-4.0,,2.13070,469.32933,7,True,True,MultiThreaded
Optimized Clang-4.0,,2.82950,353.41933,7,True,True,MultiThreaded
Polly Clang-4.0,,2.28280,438.05852,7,True,True,MultiThreaded
Release Intel,,2.88150,347.04147,7,True,True,MultiThreaded
Optimized Intel,,2.29190,436.31921,7,True,True,MultiThreaded
Release,,2.50370,399.40887,8,True,True,MultiThreaded
Release GCC-7.1,,2.88480,346.64448,8,True,True,MultiThreaded
Optimized GCC-7.1,,2.55370,391.58868,8,True,True,MultiThreaded
Graphite GCC-7.1,,2.57070,388.99911,8,True,True,MultiThreaded
Release Clang-4.0,,1.68650,592.94397,8,True,True,MultiThreaded
Optimized Clang-4.0,,1.57410,635.28365,8,True,True,MultiThreaded
Polly Clang-4.0,,2.31030,432.84422,8,True,True,MultiThreaded
Release Intel,,1.91380,522.52064,8,True,True,MultiThreaded
Optimized Intel,,2.56250,390.24390,8,True,True,MultiThreaded
