Version,Instructions,Average Time Per Option (ms),Option Per Second,Dividends,Smoothing,Acceleration,Threads
Polly Clang-4.0,438434080,2.20640,453.22698,8,False,True,SingleThreaded
Release Intel,468826298,3.15290,317.16832,8,False,True,SingleThreaded
Optimized Intel,449713356,2.59750,384.98556,8,False,True,SingleThreaded
Release,315522293,1.96640,508.54353,0,True,True,SingleThreaded
Release GCC-7.1,306824487,1.74610,572.70489,0,True,True,SingleThreaded
Optimized GCC-7.1,306801187,1.32040,757.34626,0,True,True,SingleThreaded
Graphite GCC-7.1,306544911,1.41310,707.66400,0,True,True,SingleThreaded
Release Clang-4.0,273540408,1.47530,677.82824,0,True,True,SingleThreaded
Optimized Clang-4.0,271543034,1.55050,644.95324,0,True,True,SingleThreaded
Polly Clang-4.0,271764234,1.46830,681.05973,0,True,True,SingleThreaded
Release Intel,287662037,1.78640,559.78504,0,True,True,SingleThreaded
Optimized Intel,274057532,1.69910,588.54688,0,True,True,SingleThreaded
Release,345657891,1.77670,562.84122,1,True,True,SingleThreaded
Release GCC-7.1,335438589,2.06480,484.30841,1,True,True,SingleThreaded
Optimized GCC-7.1,335388889,1.99240,501.90725,1,True,True,SingleThreaded
Graphite GCC-7.1,334682113,1.94090,515.22490,1,True,True,SingleThreaded
Release Clang-4.0,299859610,1.20060,832.91687,1,True,True,SingleThreaded
Optimized Clang-4.0,297099036,1.36660,731.74301,1,True,True,SingleThreaded
Polly Clang-4.0,297252136,1.61440,619.42517,1,True,True,SingleThreaded
Release Intel,313005039,1.73720,575.63896,1,True,True,SingleThreaded
Optimized Intel,298529434,1.76710,565.89893,1,True,True,SingleThreaded
Release,367833725,1.92630,519.12994,2,True,True,SingleThreaded
Release GCC-7.1,356342333,1.86390,536.50947,2,True,True,SingleThreaded
Optimized GCC-7.1,356293833,1.89980,526.37120,2,True,True,SingleThreaded
Graphite GCC-7.1,355596813,1.55660,642.42580,2,True,True,SingleThreaded
Release Clang-4.0,318083554,1.88510,530.47584,2,True,True,SingleThreaded
Optimized Clang-4.0,315343280,1.78440,560.41246,2,True,True,SingleThreaded
Polly Clang-4.0,315431080,1.48800,672.04301,2,True,True,SingleThreaded
Release Intel,332822083,2.02510,493.80278,2,True,True,SingleThreaded
Optimized Intel,317776934,2.22880,448.67193,2,True,True,SingleThreaded
Release,393837725,2.21600,451.26354,3,True,True,SingleThreaded
Release GCC-7.1,380974933,1.93210,517.57155,3,True,True,SingleThreaded
Optimized GCC-7.1,380928233,1.57430,635.20295,3,True,True,SingleThreaded
Graphite GCC-7.1,380245157,1.59100,628.53551,3,True,True,SingleThreaded
Release Clang-4.0,339416454,2.07700,481.46365,3,True,True,SingleThreaded
Optimized Clang-4.0,336709480,1.61730,618.31447,3,True,True,SingleThreaded
Polly Clang-4.0,336734780,2.07830,481.16249,3,True,True,SingleThreaded
Release Intel,355918383,2.10630,474.76618,3,True,True,SingleThreaded
Optimized Intel,340166778,1.72810,578.67022,3,True,True,SingleThreaded
Release,419837488,1.93990,515.49049,4,True,True,SingleThreaded
Release GCC-7.1,405603333,1.74890,571.78798,4,True,True,SingleThreaded
Optimized GCC-7.1,405558433,2.05410,486.83122,4,True,True,SingleThreaded
Graphite GCC-7.1,404889457,1.95060,512.66277,4,True,True,SingleThreaded
Release Clang-4.0,360745154,1.79550,556.94793,4,True,True,SingleThreaded
Optimized Clang-4.0,358071480,1.76250,567.37589,4,True,True,SingleThreaded
Polly Clang-4.0,358034280,2.10340,475.42075,4,True,True,SingleThreaded
Release Intel,379010383,2.11420,472.99215,4,True,True,SingleThreaded
Optimized Intel,362552578,2.21950,450.55193,4,True,True,SingleThreaded
Release,445832488,2.56020,390.59448,5,True,True,SingleThreaded
Release GCC-7.1,430226933,1.93720,516.20896,5,True,True,SingleThreaded
Optimized GCC-7.1,430183833,2.23730,446.96733,5,True,True,SingleThreaded
Graphite GCC-7.1,429528957,1.93610,516.50225,5,True,True,SingleThreaded
Release Clang-4.0,382066754,2.33270,428.68779,5,True,True,SingleThreaded
Optimized Clang-4.0,379426380,1.96540,508.80228,5,True,True,SingleThreaded
Polly Clang-4.0,379326680,1.96400,509.16497,5,True,True,SingleThreaded
Release Intel,402097683,2.13030,469.41745,5,True,True,SingleThreaded
Optimized Intel,384933678,2.30790,433.29434,5,True,True,SingleThreaded
Release,471815535,2.13990,467.31156,6,True,True,SingleThreaded
Release GCC-7.1,454845533,2.42450,412.45618,6,True,True,SingleThreaded
Optimized GCC-7.1,454804233,2.25230,443.99059,6,True,True,SingleThreaded
Graphite GCC-7.1,454163457,2.09300,477.78309,6,True,True,SingleThreaded
Release Clang-4.0,403384754,2.10500,475.05938,6,True,True,SingleThreaded
Optimized Clang-4.0,400777680,2.14230,466.78803,6,True,True,SingleThreaded
Polly Clang-4.0,400615480,2.19800,454.95905,6,True,True,SingleThreaded
Release Intel,425179883,2.47620,403.84460,6,True,True,SingleThreaded
Optimized Intel,407309678,2.11560,472.67915,6,True,True,SingleThreaded
Release,497811135,2.22960,448.51094,7,True,True,SingleThreaded
Release GCC-7.1,479469733,2.20080,454.38023,7,True,True,SingleThreaded
Optimized GCC-7.1,479430233,2.21420,451.63039,7,True,True,SingleThreaded
Graphite GCC-7.1,478803557,2.31410,432.13344,7,True,True,SingleThreaded
Release Clang-4.0,424709654,2.35530,424.57436,7,True,True,SingleThreaded
Optimized Clang-4.0,422135880,2.35650,424.35816,7,True,True,SingleThreaded
Polly Clang-4.0,421911180,2.60100,384.46751,7,True,True,SingleThreaded
Release Intel,448267683,2.15090,464.92166,7,True,True,SingleThreaded
Optimized Intel,429691278,2.65680,376.39265,7,True,True,SingleThreaded
Release,523806835,2.31340,432.26420,8,True,True,SingleThreaded
Release GCC-7.1,504094033,2.44960,408.22992,8,True,True,SingleThreaded
Optimized GCC-7.1,504056333,2.63690,379.23319,8,True,True,SingleThreaded
Graphite GCC-7.1,503443757,2.26830,440.85879,8,True,True,SingleThreaded
Release Clang-4.0,446032454,2.45490,407.34857,8,True,True,SingleThreaded
Optimized Clang-4.0,443491980,2.23400,447.62757,8,True,True,SingleThreaded
Polly Clang-4.0,443204780,2.62140,381.47555,8,True,True,SingleThreaded
Release Intel,471355683,2.47440,404.13838,8,True,True,SingleThreaded
Optimized Intel,452073078,2.72510,366.95901,8,True,True,SingleThreaded
